広告ID,広告名,CR名,LP名,登録経路,配信開始日,初動終了日,初動3日間費用,初動3日間CV数,初動3日間CPA
1.85095E+15,251208/清水絢吾/新ダイジェスト/権威1/LP2-CR000134,CR000134,LP2,TikTok広告-スキルプラス-LP2-CR000134,2025/12/9,2025/12/11,9235,2,4617.5
1.85095E+15,251208/清水絢吾/新ダイジェスト/権威2/LP2-CR000135,CR000135,LP2,TikTok広告-スキルプラス-LP2-CR000135,2025/12/9,2025/12/11,9017,0,N/A
1.85095E+15,251208/清水絢吾/新ダイジェスト/権威3/LP2-CR000136,CR000136,LP2,TikTok広告-スキルプラス-LP2-CR000136,2025/12/9,2025/12/11,8960,0,N/A
1.85095E+15,251208/清水絢吾/新ダイジェスト/権威4/LP2-CR000137,CR000137,LP2,TikTok広告-スキルプラス-LP2-CR000137,2025/12/9,2025/12/11,9026,2,4513
1.85095E+15,251208/清水絢吾/新ダイジェスト/権威5/LP2-CR000138,CR000138,LP2,TikTok広告-スキルプラス-LP2-CR000138,2025/12/9,2025/12/11,8153,0,N/A
1.85095E+15,251208/清水絢吾/新ダイジェスト/権威6/LP2-CR000139,CR000139,LP2,TikTok広告-スキルプラス-LP2-CR000139,2025/12/9,2025/12/11,9108,1,9108
1.85095E+15,251208/清水絢吾/新ダイジェスト/権威7/LP2-CR000140,CR000140,LP2,TikTok広告-スキルプラス-LP2-CR000140,2025/12/9,2025/12/11,8598,1,8598
1.85095E+15,251208/清水絢吾/新ダイジェスト/権威8/LP2-CR000141,CR000141,LP2,TikTok広告-スキルプラス-LP2-CR000141,2025/12/9,2025/12/11,9067,0,N/A
1.8514E+15,251208/清水絢吾/新ダイジェスト/UGC1/LP2-CR000142,CR000142,LP2,TikTok広告-スキルプラス-LP2-CR000142,2025/12/15,2025/12/17,12183,1,12183
1.85102E+15,251208/清水絢吾/新ダイジェスト/UGC1/LP2-CR000142,CR000142,LP2,TikTok広告-スキルプラス-LP2-CR000142,2025/12/9,2025/12/11,12259,2,6129.5
1.85155E+15,251208/清水絢吾/新ダイジェスト/UGC2/LP2-CR000143,CR000143,LP2,TikTok広告-スキルプラス-LP2-CR000143,2025/12/15,2025/12/17,18028,3,6009.33
1.85102E+15,251208/清水絢吾/新ダイジェスト/UGC2/LP2-CR000143,CR000143,LP2,TikTok広告-スキルプラス-LP2-CR000143,2025/12/9,2025/12/11,11393,4,2848.25
1.84774E+15,251114/清水絢吾/スマプラ/CVポイント検証/LP2-CR00023,CR00023,LP2,TikTok広告-スキルプラス-LP2-CR00023,2025/11/21,2025/11/23,252050,24,10502.08
1.84868E+15,251113清水絢吾おい会社員/穏やか_手取り20万/LP2-CR00088,CR00088,LP2,TikTok広告-スキルプラス-LP2-CR00088,2025/11/21,2025/11/23,0,0,N/A
1.84868E+15,251113清水絢吾/おい会社員/穏やか_30平社員/LP2-CR00090,CR00090,LP2,TikTok広告-スキルプラス-LP2-CR00090,2025/11/21,2025/11/23,19208,3,6402.67
1.84868E+15,251113清水絢吾/おい会社員/穏やか_NISA貧乏/LP2-CR00091,CR00091,LP2,TikTok広告-スキルプラス-LP2-CR00091,2025/11/21,2025/11/23,0,0,N/A
1.84868E+15,251113清水絢吾/おい会社員/穏やか_手取り20万_ver2/LP2-CR00096,CR00096,LP2,TikTok広告-スキルプラス-LP2-CR00096,2025/11/21,2025/11/23,19196,2,9598
1.84868E+15,251113清水絢吾/おい会社員/高圧_手取り20万_ver2/LP2-CR00097,CR00097,LP2,TikTok広告-スキルプラス-LP2-CR00097,2025/11/21,2025/11/23,19024,1,19024
1.84868E+15,251113/清水絢吾/おい会社員/デフォルト/LP2-CR00098,CR00098,LP2,TikTok広告-スキルプラス-LP2-CR00098,2025/11/21,2025/11/23,11147,0,N/A
1.84883E+15,251114/清水絢吾/スマプラ/おい会社員まとめ/LP2-CR00100,CR00100,LP2,TikTok広告-スキルプラス-LP2-CR00100,2025/11/21,2025/11/23,123296,0,N/A
1.84939E+15,251114/清水絢吾/スマプラ/おい会社員まとめ/LP2-CR00100,CR00100,LP2,TikTok広告-スキルプラス-LP2-CR00100,2025/11/26,2025/11/28,8819,0,N/A
1.84923E+15,251119/清水絢吾/新セミナーダイジェスト/権威_CTAなし_BGM1/LP2-CR00103,CR00103,LP2,TikTok広告-スキルプラス-LP2-CR00103,2025/11/21,2025/11/23,23383,0,N/A
1.84924E+15,251119/清水絢吾/新セミナーダイジェスト/キャンペーン_CTAなし_BGM1/LP2-CR00104,CR00104,LP2,TikTok広告-スキルプラス-LP2-CR00104,2025/11/21,2025/11/23,3317,0,N/A
1.84924E+15,251119/清水絢吾/新セミナーダイジェスト/UGC_CTAなし_BGM1/LP2-CR00105,CR00105,LP2,TikTok広告-スキルプラス-LP2-CR00105,2025/11/21,2025/11/23,24656,0,N/A
1.84924E+15,251119/清水絢吾/新セミナーダイジェスト/トレンド_CTAなし_BGM1/LP2-CR00106,CR00106,LP2,TikTok広告-スキルプラス-LP2-CR00106,2025/11/21,2025/11/23,23138,0,N/A
1.84924E+15,251119/清水絢吾/新セミナーダイジェスト/権威_CTAあり_BGM1/LP2-CR00107,CR00107,LP2,TikTok広告-スキルプラス-LP2-CR00107,2025/11/21,2025/11/23,22374,0,N/A
1.84924E+15,251119/清水絢吾/新セミナーダイジェスト/権威_CTAなし_BGM2/LP2-CR00108,CR00108,LP2,TikTok広告-スキルプラス-LP2-CR00108,2025/11/21,2025/11/23,23313,0,N/A
1.84923E+15,251120/清水絢吾/おい会社員/冒頭1/LP2-CR00109,CR00109,LP2,TikTok広告-スキルプラス-LP2-CR00109,2025/11/21,2025/11/23,12321,0,N/A
1.84923E+15,251120/清水絢吾/おい会社員/冒頭1/LP2-CR00109,CR00109,LP2,TikTok広告-スキルプラス-LP2-CR00109,2025/11/21,2025/11/23,11088,0,N/A
